context,model_id,alpha,inner_MAE_kg_mu,training_years
SENS-HM26_LOYO_outer_2023,Y-W1C,10,457.7039313,2022;2024;2025;2026
SENS-HM26_LOYO_outer_2023,Y-W1C,100,464.257539,2022;2024;2025;2026
SENS-HM26_LOYO_outer_2023,Y-W1C,1000,459.1633079,2022;2024;2025;2026
SENS-HM26_LOYO_outer_2024,Y-W1C,0.1,1136.277466,2022;2023;2025;2026
SENS-HM26_LOYO_outer_2024,Y-W1C,1,426.9556023,2022;2023;2025;2026
SENS-HM26_LOYO_outer_2024,Y-W1C,10,329.2098353,2022;2023;2025;2026
SENS-HM26_LOYO_outer_2024,Y-W1C,100,332.7877975,2022;2023;2025;2026
SENS-HM26_LOYO_outer_2024,Y-W1C,1000,336.0783257,2022;2023;2025;2026
SENS-HM26_LOYO_outer_2025,Y-W1C,0.1,920.8122766,2022;2023;2024;2026
SENS-HM26_LOYO_outer_2025,Y-W1C,1,448.1012501,2022;2023;2024;2026
SENS-HM26_LOYO_outer_2025,Y-W1C,10,447.1849935,2022;2023;2024;2026
SENS-HM26_LOYO_outer_2025,Y-W1C,100,431.3881233,2022;2023;2024;2026
SENS-HM26_LOYO_outer_2025,Y-W1C,1000,442.7893193,2022;2023;2024;2026
SENS-HM26_LOYO_outer_2026,Y-W1C,0.1,1239.446748,2022;2023;2024;2025
SENS-HM26_LOYO_outer_2026,Y-W1C,1,686.703717,2022;2023;2024;2025
SENS-HM26_LOYO_outer_2026,Y-W1C,10,508.4190576,2022;2023;2024;2025
SENS-HM26_LOYO_outer_2026,Y-W1C,100,489.387347,2022;2023;2024;2025
SENS-HM26_LOYO_outer_2026,Y-W1C,1000,502.8629494,2022;2023;2024;2025
SENS-HM26_LOYO_outer_2022,Y-W1M,0.1,235.9564333,2023;2024;2025;2026
SENS-HM26_LOYO_outer_2022,Y-W1M,1,188.8369731,2023;2024;2025;2026
SENS-HM26_LOYO_outer_2022,Y-W1M,10,222.2834342,2023;2024;2025;2026
SENS-HM26_LOYO_outer_2022,Y-W1M,100,322.8618689,2023;2024;2025;2026
SENS-HM26_LOYO_outer_2022,Y-W1M,1000,349.1843234,2023;2024;2025;2026
SENS-HM26_LOYO_outer_2023,Y-W1M,0.1,884.3344541,2022;2024;2025;2026
SENS-HM26_LOYO_outer_2023,Y-W1M,1,687.2259932,2022;2024;2025;2026
SENS-HM26_LOYO_outer_2023,Y-W1M,10,508.5992608,2022;2024;2025;2026
